Museum	CatalogNumber	Subspecies	Piaggio	Sex	TotalLength	TailLength	HdftLength	EarLength	Weight	Basal	Condylo-basal	GrtstLength	NasalLength	NasalWidth	IncisiveForamen	ZygomaticWidth	MastoidWidth	InterorbitalBreadth	MaxillaryDiastema	PalatalLength	PalatalWidth	PostpalatalLength	InterpterygoidFossa 	AuditalTubeLength	AuditalTubeWidth	AlveolarLngSprChkth	Distb/wInfraorbitalFor	WidthAngularProcess	MandibleLength	MandibularDiastema	AlveolarLgthLwrChkth
MVZ	20307	phaea	coastal	MA	321	NA	54	8	NA	59.42	62.78	64.11	21.63	9.17	6.47	49.11	46.05	10.94	17.39	41.1	4.93	17.94	3.77	20.66	8.82	16.09	15.48	20.62	43.85	10.86	15.89
MVZ	20309	phaea	coastal	MA	344	38	57	NA	NA	63.66	67.88	69.25	22.22	9.57	7.07	51.29	46.36	11.72	18.5	43.94	5.74	19.4	4.13	19.92	11.53	17.67	16.4	20.85	47.92	11.15	17.36
MVZ	20314	phaea	coastal	MA	320	37	52	11	910	61.19	63.71	67.26	22.47	10.22	6.34	52.07	50.14	11.44	17.9	41.57	4.51	19.29	3.88	20.64	9.62	16.74	15.08	22.75	45.89	10.89	16.74
MVZ	115448	phaea	coastal	MA	323	20	52	15	900	63.78	66.47	67.62	22.51	9.78	6.22	52.01	46.04	11.68	16.8	42.35	4.84	21.01	4.81	20.67	9.33	17.37	15.7	21.27	45.76	10.38	17.8
MVZ	115450	phaea	coastal	MA	332	26	52	18	842	59.71	63.13	65.72	20.73	9.72	5.9	51.18	46.41	11.45	16.98	41.37	4.94	18.04	3.34	19.26	9.16	16.59	15.42	21.31	44.91	10.1	16.58
MVZ	115556	phaea	coastal	MA	339	29	56	21	1000	60.79	65.16	67.3	21.98	9.96	5.37	52.78	51.98	9.21	18.79	42.89	4.92	17.57	4.74	21.22	9.9	17.03	15.45	22.03	47.12	11.21	16.67
MVZ	116268	phaea	coastal	MA	295	18	54	18	850	60.6	64.76	65.38	20.71	9.23	5.47	59.96	44.95	11.43	17.22	42.19	5.2	18.27	4.77	19.93	9.16	16.35	15.57	20.47	44.93	10.11	16.74
MVZ	116269	phaea	coastal	MA	313	10	52	18	NA	67.56	63.42	66.01	21.23	9.58	6.06	50.44	46.74	12.15	17.26	41.77	5.06	18.47	4.72	19.51	9.16	16.53	15.29	22.19	45	10.1	16.46
MVZ	116270	phaea	coastal	MA	336	20	47	18	NA	62.92	66.41	68.72	18.8	10.1	6.05	53.25	51.11	10.24	18.76	44.1	5.27	18.57	4.8	20.57	9.36	17.45	15.44	22.89	46.98	11.1	16.97
MVZ	116271	phaea	coastal	MA	319	NA	53	NA	935	62.08	64.95	66.1	21.85	10.09	5.76	50.27	49.52	10.15	17.66	42.5	5.29	19.15	3.73	21.37	10.06	17.16	14.88	23	45.22	11.57	16.74
MVZ	116272	phaea	coastal	MA	316	NA	51	NA	898	60.46	64.55	66.05	20.64	9.43	6.76	49.63	47.84	9.08	NA	42.09	5.09	17.87	4.41	20.6	9.49	16.56	14.64	21.77	46.19	11.17	16.98
MVZ	116273	phaea	coastal	MA	320	22	49	18	NA	61.28	64.43	66.97	21.91	9.87	6.15	53.19	49.21	11.34	17.21	42.31	4.64	18.7	4.46	20.84	9.99	17.47	15.03	22.71	46.28	10.87	17.65
MVZ	116734	phaea	coastal	MA	348	27	63	20	1180	62.29	67.33	68.59	23.81	9.88	6.46	52.94	51.55	9.72	18.64	44.5	4.46	17.88	4.31	20.63	9.67	17.58	14.02	22.9	47.77	11.43	17.49
MVZ	20304	phaea	coastal	MA	330	31	53	12	1136	62.05	65.59	65.69	21.08	10.04	6.43	51.92	48.29	11.02	18.46	42.89	5.59	18.8	3.93	20.84	10.22	16.58	16.03	21.6	46.22	11.36	16.83
MVZ	8974	phaea	coastal	MA	320	35	54	NA	NA	60.26	63.61	66.03	21.6	9.64	6.68	50.91	50.92	10	16.69	41.72	4.8	18.27	4.59	20.83	9.85	17.28	14.87	NA	46.21	9.84	17.12
MVZ	146619	phaea	coastal	MA	NA	NA	NA	NA	NA	61.89	66.06	66.74	21.87	9.92	5.92	52.69	50.47	11.51	18.58	42.88	4.69	18.77	4.8	21.31	9.98	18.06	15.55	NA	NA	NA	NA
MVZ	146595	phaea	coastal	MA	NA	NA	NA	NA	NA	62.33	66.25	68.32	22.82	9.71	6.75	52.09	51.91	10.81	18.37	43.64	5.46	18.29	5.1	21.02	10.12	16.87	14.56	NA	NA	NA	NA
MVZ	96311	phaea	coastal	MA	320	25	56	20	924	62.66	66.08	66.11	22.7	9.51	5.97	51.92	48.33	10.06	19.05	43.51	5.98	18.94	4.59	20.18	9.2	16.16	14.53	22.67	47.67	12.86	16.3
MVZ	20787	phaea	coastal	MA	303	25	49	NA	NA	58.83	61.41	64.09	20.94	8.56	4.71	47.18	44.38	10.54	15.75	39.57	4.5	18.75	4.73	19.65	10.16	16.02	14.85	20.43	44.23	9.94	15.93
MVZ	114343	phaea	coastal	MA	307	NA	54	NA	774	60.89	64.54	65.33	20.74	9.64	5.31	49.41	45.82	10.72	17.59	42.15	5.36	18.75	4.12	20.99	9.3	16.46	15.39	21.25	44.09	10.06	16.39
MVZ	116306	rainieri	olympica	MA	355	NA	60	NA	NA	71.02	75.63	77.53	29.96	11.76	7.74	60.43	56.56	9.71	21.76	49.66	5.69	21.09	6	24.21	8.89	18.53	17.88	24.11	53.59	13.56	17.51
MVZ	116308	rainieri	olympica	MA	353	NA	60	NA	NA	69.37	73.64	76.86	25.17	12.35	7.69	60.56	56.86	9.35	20.62	48.46	5.7	20.27	5.14	23.14	9.79	18.23	17.11	23.17	52.21	12.6	18.24
MVZ	116309	rainieri	olympica	MA	336	NA	60	NA	NA	66.97	70.83	73.73	26.98	11.54	7.39	57.25	55.24	8.86	20.04	46.48	5.31	20.28	5.51	23.61	9.54	17.94	17.73	23.2	50.83	12.69	17.59
MVZ	116312	rainieri	olympica	MA	359	NA	60	NA	NA	68.34	73.02	77.17	27.42	12.17	7.9	57.94	54.75	9.68	20.76	48.55	5.57	19.92	5.44	22.15	10.7	18.04	17.9	23.81	50.6	13.02	17.85
MVZ	116303	rainieri	olympica	MA	315	NA	55	NA	NA	64.18	69.15	71.26	26.56	10.02	7.85	54.73	52.27	9.65	19.08	46.4	4.74	17.52	4.81	22.4	10.02	17.84	16.34	21.21	49.41	12.97	17.31
MVZ	13326	rufa	rufa	MA	350	21	59	NA	NA	63.47	68.27	70.86	23.97	11.33	7.07	54.61	53.77	9.7	19.39	44.35	5.3	18.88	5.12	23.55	9.57	16.35	16.13	24.61	47.3	12.18	16.01
MVZ	69569	rufa	rufa	MA	344	22	55	22	1134	62.69	67.21	70.04	22.85	11.05	6.27	53.47	51.2	9.58	18.84	44.22	5.65	18.23	5.3	21.51	9.99	16.63	15.35	21.47	46.17	10.61	16.48
MVZ	69570	rufa	rufa	MA	322	27	56	22	932	62.47	67.35	70.34	22.88	10.47	6.69	50.47	49.27	10.81	18.73	42.83	4.42	19.36	5.27	22.11	10.99	16.58	15.71	21.24	47.04	10.9	16.56
MVZ	121887	rufa	rufa	MA	304	39	50	21	1120	61.1	65.23	68.19	23.05	11.27	6.16	51.4	52.14	9.34	17.83	42.12	5.54	18.88	4.79	20.88	8.51	15.76	14.61	22.74	46.29	10.84	15.59
MVZ	13327	rufa	rufa	MA	330	25	60	NA	NA	63.48	68.61	73.88	24.01	10.59	6.97	51.13	51.93	10.61	19.72	44.19	5.75	19.31	4.92	22.15	8.68	15.75	18.45	22.08	49.36	13.25	15.8
MVZ	13331	rufa	rufa	MA	350	28	63	NA	NA	66.87	71.83	73.72	22.18	12.14	6.48	59.8	58.07	9.44	20.99	46.76	6.39	19.94	4.8	25.79	11.13	17.97	17.27	25.47	50.96	12.06	17.05
MVZ	31074	rufa	rufa	MA	345	28	58	NA	NA	66.29	70.66	72.66	25.98	11.91	7.09	54.85	51.06	11.03	19.3	46.74	5.92	18.98	5.18	22.56	11.09	17.41	17.06	24.88	48.48	11.3	17.08
MVZ	120528	rufa	olympica	MA	370	34	47	23	1285	67.37	71.85	77.61	27.25	13.11	7	59.85	56.62	11.76	19.89	48.35	5.99	18.53	4.65	25.05	9.65	18.2	18.08	26.28	51.72	12.78	18.12
MVZ	94639	rufa	olympica	MA	365	40	58	30	1477	71.09	75.28	77.21	28.19	11.84	7.29	59.49	54.82	10.04	20.25	50.73	6.33	20.07	4.54	24.27	10.45	18.9	17.48	24.18	52.81	12.54	18.38
MVZ	94641	rufa	olympica	MA	343	7	53	24	1285.7	66.78	70.99	74.54	26.68	11.6	6.16	55.11	52.11	10.97	19.23	47.19	6.16	19.29	4.88	23.62	10.6	17.07	17	22.97	50.66	11.43	17.09
MVZ	94646	rufa	olympica	MA	369	33	60	26	1456	70.08	74.3	75.34	27.73	11.91	6.39	61.51	59.89	11.47	20.45	49.38	5.9	20.34	4.64	25.69	10.91	18.16	18.74	24.56	52.74	13.04	18.31
MVZ	94647	rufa	olympica	MA	335	27	56	23	1112	66.63	71.18	74.05	27.79	11.51	6.49	54	52.72	11.27	18.58	46.1	5.37	20.39	4.51	22.88	9.51	17.84	18.38	23	49.82	11.1	17.71
MVZ	94648	rufa	olympica	MA	350	40	61	23	1464	68.34	73.29	74.58	26.37	11.86	6.46	57.04	54.01	11.3	19.67	48.13	6.29	19.79	4.82	23.73	9.13	18.3	17.56	24.12	51.46	12.21	18.3
MVZ	94649	rufa	olympica	MA	358	35	61	25	1454	65.91	70.68	74.41	27.22	12.66	7.37	56.41	54.33	10.57	19.5	46.27	5.42	19.13	4.91	23.95	10.84	17.9	18.49	23.21	50.47	11.36	17.05
MVZ	94650	rufa	olympica	MA	305	15	53	22	1095.7	55.49	59.12	64.47	20.88	10.1	5.75	47.12	45.28	9.58	16.14	38.62	3.88	16.36	4.69	20.05	9.47	16.45	15.73	21.26	43.47	8.94	16.25
MVZ	96057	rufa	olympica	MA	338	32	55	22	1351.8	69.12	74.21	77.63	28.11	12.44	7.4	58.12	55.55	9.99	21.54	49.16	6.73	19.39	4.81	23.1	8.8	17.68	17.35	23.35	51.48	12.04	18.12
MVZ	83433	rufa	olympica	MA	311	20	56	24	NA	62.34	66.38	70.7	26.04	10.27	7.46	51.8	47.58	10.41	17.57	62.18	5.01	17.44	5.19	21.51	9.33	17.73	16.05	21.78	46.6	10.65	16.66
MVZ	89551	rufa	olympica	MA	362	26	56	24	NA	67.39	71.64	74.05	26.41	12.15	6.24	57.25	56.29	10.33	19.52	47.57	5.88	19.86	4.7	24.4	11.41	18.08	17.73	24.89	51.49	13.05	18.37
MVZ	94636	rufa	olympica	MA	340	35	54	23	947.7	66.44	70.19	73.36	26.63	13.73	6.21	54.59	52.91	9.76	19.94	46.49	4.65	19.61	4.83	23.59	10.32	18.37	17.72	23.81	50.32	12.77	16.64
MVZ	94638	rufa	olympica	MA	358	35	58	28	1281	68.56	73.04	76.88	27.79	13.01	7.3	58.41	57.03	8.74	22.08	47.59	5.73	20.29	5.7	23.9	10.28	17.58	17.63	25.49	51.79	13.54	17.65
MVZ	3748	rufa	olympica	MA	338	42	56	16	2.25LBS	65.51	70.41	72.63	25.4	12.48	7.18	54.07	52.24	9.59	19.85	46.54	6.33	18.78	4.97	21.79	9.08	17.69	17.1	22.18	48.62	12.13	17.29
MVZ	83539	rufa	olympica	MA	340	38	61	25	NA	69.85	73.93	76.84	28.99	12.41	7.23	58.65	58.62	10.66	19.94	48.3	4.84	21.27	4.91	23.82	10.81	18.64	17.23	23.23	50.43	12.02	17.25
MVZ	83540	rufa	olympica	MA	367	35	64	24	NA	67.23	71.27	74.55	28.39	11.55	7.08	56.95	52.24	11.3	19.11	46.05	5.38	20.78	4.87	23.4	9.62	17.88	17.15	25.68	52.69	12.5	18.37
MVZ	119203	rufa	olympica	MA	NA	NA	NA	NA	NA	64.68	68.64	73.52	27.97	10.84	6.44	53.68	54.75	8.87	19.91	46.07	6.85	18.41	4.93	23.2	9.61	18.81	16.43	24.09	49.71	11.89	18.67
MVZ	99431	rufa	olympica	MA	NA	NA	NA	NA	NA	65.6	NA	74.14	26.95	11.11	7.16	57.55	56.04	10.99	20.31	46.62	5.51	18.7	5.21	24.88	9.83	18	17.84	24.59	49.07	12.02	17.63
MVZ	99432	rufa	olympica	MA	NA	NA	NA	NA	NA	69.65	74.49	77.7	27.08	12.25	7.11	60.95	61.24	9.09	21.81	48.91	6.45	20.28	5.19	25.14	10.27	19.71	18.85	24.69	52.05	14.16	19.34
MVZ	119211	rufa	olympica	MA	350	NA	NA	NA	NA	64.44	68.49	72.57	25.65	11.97	6.94	53.3	53.12	10.64	19.57	45.6	5.59	18.38	4.74	22.79	9.56	18.27	15.99	22.01	48.2	11.38	17.96
MVZ	119213	rufa	olympica	MA	348	NA	NA	NA	NA	62.48	66.97	70.5	24.69	11.03	6.57	55.69	54.16	11.43	18.75	44.06	5.63	18.55	4.52	23.67	9.72	19.21	19.25	23.57	47.74	11.6	18.58
MVZ	119214	rufa	olympica	MA	340	NA	NA	NA	NA	65.06	69.55	71.78	25.77	10.65	6.94	51.77	50.7	9.79	19.42	45.34	5.85	19.57	4.35	22.53	10.63	18.14	16.9	22.29	49.06	11.64	18.3
MVZ	119220	rufa	olympica	MA	357	NA	NA	NA	NA	64.95	68.88	71.32	25.03	11.33	7.04	53.87	63.69	8.72	19.85	46.55	5.73	18.29	4.91	23.14	8.24	18.31	16.22	21.61	49.9	11.52	18.32
MVZ	119225	rufa	olympica	MA	343	NA	NA	NA	NA	63.56	67.95	71.66	26.12	11.19	6.96	54.08	52.42	10.39	18.25	44.61	6.16	19.01	4.36	22.35	9.91	17.45	16.7	22.37	49.29	10.39	17.32
MVZ	119228	rufa	olympica	MA	353	NA	NA	NA	NA	64.21	68.66	70.22	21.24	11.48	7.89	55.25	53.37	10.64	19.25	45	5.96	18.82	5.18	22.11	10.49	18.23	16.62	21.75	49.42	11.6	17.64
MVZ	119229	rufa	olympica	MA	357	NA	NA	NA	NA	66.46	71.02	73.72	24.53	11.66	7.67	51.85	53.13	11.59	20.76	48.19	6.98	18.1	5.04	22.58	9.66	18.03	16.95	23.05	49.87	13.12	18.01
MVZ	119231	rufa	olympica	MA	356	NA	NA	NA	NA	64.15	68.27	72.23	24.55	11.57	7.38	57.78	54.25	10.1	19.74	45.44	6.19	18.27	4.73	22.88	9.57	18.02	16.8	23.4	50.41	12.74	17.55
MVZ	119232	rufa	olympica	MA	358	NA	NA	NA	NA	64.7	68.69	73.7	26.15	12.49	6.32	55.64	53.96	9.16	20.01	46.11	6.21	18.08	4.7	24.9	10.04	17.55	17.73	23.27	50.47	13.52	17.15
MVZ	119234	rufa	olympica	MA	361	NA	NA	NA	NA	64.88	68.72	73.58	26.05	10.79	7.11	56.83	54.14	10.35	19.99	46.09	6.51	18.26	4.92	22.86	10	18.08	17.13	24.12	50.62	13.48	17.95
MVZ	119239	rufa	olympica	MA	346	NA	NA	NA	NA	63.19	66.34	70.9	25.91	11.98	6.53	56.07	55.32	10.65	18.99	44.82	6.1	18.51	4.98	23.89	9.35	17.95	17.69	25.16	50.06	11.87	17.96
MVZ	119242	rufa	olympica	MA	371	NA	NA	NA	NA	65.04	69.39	71.73	24.83	11.54	6.81	55.41	52.39	11.33	19.45	45.98	5.68	18.68	4.63	NA	10.02	18.09	16.24	24.21	49.63	13.12	17.94
MVZ	119252	rufa	olympica	MA	376	NA	NA	NA	NA	63.53	68.2	71.62	25.58	12.16	6.64	53.13	54.23	11.7	18.98	44.38	5.41	18.93	5	24.1	9.14	18.41	16.88	22.68	49.59	13.29	18.38
MVZ	119253	rufa	olympica	MA	349	NA	NA	NA	NA	63.58	67.76	73.41	26.43	11.9	7.13	53.25	53.06	10.44	19.03	45.94	6.71	18.01	4.97	22	9.76	17.76	15.6	23.94	50.07	12	18.32
MVZ	119254	rufa	olympica	MA	356	NA	NA	NA	NA	64.3	68.42	71.66	25.44	10.99	6.6	53.22	54.92	10.13	19.49	45.86	6.21	17.79	4.83	23.32	9.63	17.85	16.28	23.12	50.45	11.99	17.64
PSM	5564	pacifica	pacifica	MA	377	NA	NA	NA	NA	64.85	61.7	67.69	23.39	10.65	5.97	53.23	52.86	9.94	20.4	44.67	3.87	17.42	4.3	23.35	9.86	17.66	16.73	23.3	46.61	12.82	16.54
PSM	10849	pacifica	pacifica	MA	NA	NA	NA	NA	NA	66.79	62.66	70.14	23.98	9.82	7.17	48.91	46.46	12.1	18.74	43.97	4.3	18.86	5.18	22.1	10.43	19.34	16.53	21.13	45.38	12.16	17.69
PSM	13415	pacifica	pacifica	MA	224.4	NA	NA	NA	NA	67.08	62.4	69.17	21.95	11.05	6.16	52.04	49.18	11.98	20.36	44.14	5.12	18.28	5.02	21.12	9.66	17.57	16.21	21.17	45.75	12.27	17.04
PSM	13417	pacifica	pacifica	MA	247.7	NA	NA	NA	NA	66.32	62.79	66.37	22.1	10.95	6.27	52.84	50.22	10.1	20.17	44.52	5.29	18.25	4.37	21.91	9.91	17.39	14.9	20.85	45.13	11.15	16.63
PSM	13418	pacifica	pacifica	MA	247.8	NA	NA	NA	NA	66.4	62.35	69.59	22.76	10.97	7.09	53.22	48.17	11.34	19.46	43.82	5.19	18.86	4.75	22.05	9.51	18.17	15.75	20.58	44.73	11.46	17.5
PSM	13419	pacifica	pacifica	MA	248.4	NA	NA	NA	NA	68.15	63.74	71.15	23.5	10.72	6.57	54.03	52.83	10.12	20.53	45.19	5.58	18.62	4.35	23.31	9.62	18	17.11	20.73	46.52	11.88	17.16
PSM	13420	pacifica	pacifica	MA	248.7	NA	NA	NA	NA	67.82	63.31	70.8	22.91	11.41	6.19	51.91	51.87	11.08	20.06	44.5	5.68	19.19	5.07	22.24	10.19	17.86	16.47	20.14	46.82	12.45	16.99
PSM	13422	pacifica	pacifica	MA	254.2	NA	NA	NA	NA	66.96	63.08	70.17	23.79	10.58	6.66	51.05	48.73	9.52	21.36	45.19	4.05	18.06	4.76	21	9.57	18.35	16.75	21.37	45.54	12.57	16.86
PSM	13425	pacifica	pacifica	MA	256.2	NA	NA	NA	NA	64.78	60.97	67.61	24.18	9.86	6.78	50.14	48.65	9.21	19.87	43.49	5.01	17.57	4.11	21.44	9.03	18.59	15.27	20.39	42.92	10.89	16.73
PSM	13428	pacifica	pacifica	MA	241.8	NA	NA	NA	NA	72.06	67.45	74.87	26.13	12.54	5.98	56.05	54.45	11.31	22.57	48.36	5.53	19.25	5.57	23.24	10.04	18.63	16.05	21.81	48.87	13.02	18.38
PSM	13429	pacifica	pacifica	MA	242.6	NA	NA	NA	NA	68.65	64.19	71.73	25.03	11.62	7.43	55.17	54.42	10.63	21.24	45.77	5.43	18.58	4.5	22.83	9.97	17.58	16.63	22.23	44.93	11.94	16.37
PSM	13740	pacifica	pacifica	MA	242.2	NA	NA	NA	NA	65.67	61.11	68.21	21.39	10.75	6.14	51.03	47.45	11.6	19.23	42.81	5.34	18.29	4.72	20.78	10.2	17.77	15.53	20.04	44.48	10.94	16.48
PSM	13782	pacifica	pacifica	MA	247.9	NA	NA	NA	NA	67.1	63.11	70.62	23.38	10.86	7.39	50.39	51.31	9	20.18	45.66	4.8	17.34	4.47	22.94	10.26	18.17	15.23	20.54	44.75	11.88	16.93
PSM	13785	pacifica	pacifica	MA	258.5	NA	NA	NA	NA	65.24	61.39	69.4	23.52	10.38	6.78	51.37	47.01	11.26	21.3	44	5.21	17.5	4.51	21.07	9.36	17.43	16.96	21.37	44.19	12.72	15.44
PSM	14654	pacifica	pacifica	MA	312.1	NA	NA	NA	NA	66.04	61.46	68.95	23.91	10.18	6.15	51.11	47.92	12	19.03	43.93	5.32	17.68	5.05	21.63	10.55	18.2	15.23	20.09	45.19	11.43	17.06
PSM	14655	pacifica	pacifica	MA	312.2	NA	NA	NA	NA	64.97	60.36	68.39	23.03	11.2	6.4	49.76	47.37	12.03	19.33	41.59	5.5	19.02	5.46	21.3	10.08	17.61	15.35	20.27	44.23	11.61	16.62
PSM	14662	pacifica	pacifica	MA	319.6	NA	NA	NA	NA	66.52	62.41	69.56	23.61	11.06	7.18	52.77	50.08	10.67	19.85	45.04	5.74	17.56	4.31	21.31	10.32	17.38	16.21	20.13	44.89	11.02	16.26
PSM	15170	pacifica	pacifica	MA	328.7	NA	NA	NA	NA	64.42	60.7	67.5	23.51	9.77	6.32	50.74	47.59	9.5	20.18	42.11	4.31	18.73	3.94	20.82	8.83	17.3	15.38	20.54	43.95	11.29	16.17
PSM	24262	pacifica	pacifica	MA	144	NA	NA	NA	NA	66.68	63.11	70.01	22.84	11.06	5.33	51.57	48.01	11.26	19.57	45.22	4.51	17.93	4.23	22.43	10.61	19.18	16.71	21.22	46.9	11.79	17.2
PSM	1006	rufa	olympica	MA	NA	NA	NA	NA	NA	72.48	67.89	75.97	21.79	12.43	6.58	57.81	55.48	13.4	21.83	47.27	5.89	20.58	5.07	23.25	9.62	18.27	17.13	24.27	49.84	12.96	17.38
PSM	1062	rufa	olympica	MA	NA	NA	NA	NA	NA	69.53	67.62	73.19	27.29	13.83	6.07	58.21	52.71	10.97	21.09	46.9	5.43	21.18	5.02	23.06	10.21	18.58	16.99	22.06	49.46	12.25	17.8
PSM	5566	rufa	rufa	MA	291.6	NA	NA	NA	NA	67.28	62.91	70.7	24.02	11.88	5.84	49.93	46.07	13.49	19.44	43.63	5.8	19.36	4.9	21.93	10.33	18.64	16.36	18.76	44.22	11.73	17.51
PSM	5569	rufa	rufa	MA	436.3	NA	NA	NA	NA	68.11	63.17	71.57	25.18	12.03	7.13	51.03	47.74	11.96	19.39	43.67	5.73	19.89	5.15	21.38	9.73	18.9	16.91	20.05	45.63	11.87	17.58
PSM	5573	rufa	olympica	MA	297.2	NA	NA	NA	NA	68.58	63.47	71.43	25.91	10.88	7.17	53.92	51.15	10.41	20.4	45.52	5.59	17.97	5.21	22.45	9.46	18.73	16.4	22.55	45.08	11.58	17.1
PSM	5574	rufa	olympica	MA	329.5	NA	NA	NA	NA	72.93	68.44	76.67	28.02	13.17	6.72	56.21	53.57	10.08	21.42	48.82	5.42	20.27	5.34	23.26	10.7	20.24	17.25	22.91	49.44	12.27	18.9
PSM	5575	rufa	olympica	MA	329.6	NA	NA	NA	NA	67.66	63.47	71.58	26.24	12.23	6.59	55.11	51.98	10.48	18.8	44.98	5.24	18.56	4.84	24.73	9.89	19.31	16.97	21.87	46.82	10.93	19.06
PSM	10845	rufa	olympica	MA	430	NA	NA	NA	NA	70.53	65.44	74.44	28.21	13.79	7.02	53.93	50.78	10.47	20.43	46.22	4.95	19.62	4.72	23.46	9.7	17.96	16.64	22.85	46.81	12.43	17.01
PSM	10848	rufa	olympica	MA	216	NA	NA	NA	NA	68.13	64.14	70.69	24.51	11.09	6.53	54.33	52.22	11.65	21.16	45.57	5.88	18.6	4.39	22.78	9.56	19.14	16.95	22.86	46.11	12.07	17.82
PSM	15776	rufa	olympica	MA	491.7	NA	NA	NA	NA	71.59	66.69	75.08	26.75	12.53	6.99	55.98	50.94	11.39	21.27	46.39	6.29	20.36	4.55	21.89	10.86	18.27	18	23.36	49.3	11.84	17.11
PSM	15778	rufa	olympica	MA	340	35	58	21	NA	68.92	64.34	72.46	27.2	12.25	8.03	53.95	51.7	9.73	20.67	45.99	5.69	18.76	4.59	23.01	10.13	19.08	16.1	21.15	47.28	11.42	17.65
PSM	28294	rufa	olympica	MA	NA	NA	NA	NA	NA	71.99	67.53	74.22	25.94	13.16	6.17	57.6	53.85	10.26	20.31	46.44	5.94	21.34	4.73	22.63	10.33	18.23	17.73	23.08	50.2	13.08	18.08
PSM	28456	rufa	olympica	MA	NA	NA	NA	NA	NA	69.75	65.21	72.97	26.26	11.05	6.74	52.66	51.08	11.49	20.31	45.98	6.07	19.26	4.62	23.11	10.26	19.23	17.58	22.42	45.87	11.93	17.99
USNM	22940	californica	californica	MA	  NA	NA	 NA	NA	NA	69.43	74.42	77.23	25.99	12.36	8.15	59.77	56.78	10.79	20.98	48.03	5.73	21.23	4.89	24.39	13.89	17.74	17.64	24.75	52.7	12.72	17.93
USNM	88342	californica	californica	MA	335	33	60	NA	NA	65.14	69.24	72.02	25.11	11.01	8.11	52.77	51.17	9.99	19.05	44.88	5.24	19.88	5.37	22.59	9.48	17.5	17.05	22.12	50.62	12.41	18.02
USNM	95120	californica	californica	MA	373	25	65	NA	NA	70.21	75.02	79.61	28.6	12.83	8.62	59.68	55.38	9.11	22.67	48.7	6.97	21.55	5.63	24.38	9.07	18.62	17.75	26.06	53.58	14.72	18.04
USNM	95123	californica	californica	MA	372	27	63	NA	NA	67.37	72.12	77.44	28.17	12.11	7.45	56.3	53.92	9.1	21.31	46.72	7	20.5	5.6	23.1	8.68	17.14	18.36	24.73	52.88	13.98	17.45
USNM	95124	californica	californica	MA	365	25	66	NA	NA	66.26	71.57	76.07	28.44	11.35	8.14	54.53	51.69	11.67	19.41	46.32	6.52	19.86	5.53	23.59	8.95	17.82	18.07	24.2	52.21	13.16	17.32
USNM	101056	californica	californica	MA	380	26	63	NA	NA	69.69	74.23	78.97	27.29	12.16	7.42	58.68	54.5	10.63	20.79	48.56	5.8	21.24	4.82	22.8	9.69	18.33	17.77	25.07	52.3	12.52	18.02
USNM	110241	californica	californica	MA	370	30	64	NA	NA	68.47	73.11	77.29	26.2	11.84	7.93	59.99	55.75	8.89	21.06	48.21	5.95	20	5.35	23.94	10.15	17.63	17.57	24.82	53.15	13.29	17.99
USNM	192618	californica	californica	MA	NA	NA	NA	NA	NA	70.95	75.19	81.08	28.66	12.56	8.59	61.97	59.25	11.4	21.7	49.51	6.69	20.92	5.13	25.63	10.27	17.82	18.22	27.12	54.13	14.18	17.82
USNM	192622	californica	californica	MA	NA	NA	NA	NA	NA	66.56	71.59	76.11	27.02	12.18	8.01	56.17	52.89	10.61	20.21	46.7	6.56	19.71	4.86	22.66	13.24	17.88	17.99	24.15	51.33	13.44	17.21
USNM	192624	californica	californica	MA	14I	1.5	NA	NA	NA	65.41	70.1	73.83	26.28	11.48	6.88	53.79	52.65	10.27	18.74	45.78	6.42	19.43	5.37	23.31	14.25	18.1	17.12	23.55	50.99	13.6	17.8
USNM	192625	californica	californica	MA	NA	NA	NA	NA	NA	69.34	74.41	78.83	16.52	12.97	8.54	61.72	59.82	9.69	20.67	48.14	5.79	21.04	5.26	24.75	14.6	17.67	18.52	25.6	63.73	14.09	17.88
USNM	192626	californica	californica	MA	15.5I	1.5I	NA	NA	NA	68.42	72.83	78.66	26.18	12.73	7.66	61.21	57.78	9.85	20.89	47.51	7.47	20.83	5.36	24.49	10.06	17.65	18.37	25.46	52.8	14.62	17.42
USNM	223293	californica	californica	MA	375	20	60	13	NA	68.5	72.84	78.55	27.91	12.11	8.26	58.97	56.21	10.42	20.99	49.22	6.36	19.22	5.41	24.67	10.98	17.92	17.99	25.06	52.19	13.69	18.1
USNM	238307	californica	californica	MA	375	21	60	12	NA	67.81	72.46	74.96	27.02	11.33	7.53	56.67	54.73	12.49	19.51	47.73	6.11	20.01	5.01	23.63	10.77	17.76	17.41	24.1	51.61	12.76	18.34
USNM	271138	californica	californica	MA	NA	NA	NA	NA	NA	66.87	71	75.87	27.37	12.5	6.82	58.16	56.57	10.38	19.24	47.57	6.25	19.46	4.9	24.17	10.42	17.61	16.63	24.34	50.16	12.4	17.64
USNM	186475	phaea	coastal	MA	330	30	55	NA	NA	62.07	65.2	67.43	20.83	10.36	5.55	51.81	49.11	11.71	17.8	43.47	5.12	18.6	4.57	20.38	9.56	16.53	15.32	22.36	47.66	11.55	16.71
