Museum	CatalogNumber	Subspecies	Piaggio	Sex	TotalLength	TailLength	HdftLength	EarLength	Weight	Basal	Condylo-basal	GrtstLength	NasalLength	NasalWidth	IncisiveForamen	ZygomaticWidth	MastoidWidth	InterorbitalBreadth	MaxillaryDiastema	PalatalLength	PalatalWidth	PostpalatalLength	InterpterygoidFossa 	AuditalTubeLength	AuditalTubeWidth	AlveolarLngSprChkth	Distb/wInfraorbitalFor	WidthAngularProcess	MandibleLength	MandibularDiastema	AlveolarLgthLwrChkth
HSU	354	humboldtiana	coastal	MA	345	32	57	22	ND	64.69	69.33	71.25	25.3	11.07	5.68	50.89	50.52	10.28	19.24	45.06	4.65	19.27	4.63	21.75	9.71	16.99	15.51	21.14	47.39	11.3	17.04
HSU	485	humboldtiana	coastal	MA	360	48	57	24	ND	64.93	69.12	70.89	22.74	11.3	5.75	55	53.26	9.81	19.67	45.1	5.34	19.36	4.89	22.29	10.27	17.15	17.53	22.29	48.83	11.7	16.36
HSU	513	humboldtiana	coastal	MA	294	26	53	21	ND	61.89	65.74	67.25	22.17	9.82	6.1	50.38	49.38	10.61	17.7	43.37	5.69	17.9	5.43	20.59	9.75	17.29	16.94	20.8	46.99	10.66	17.4
HSU	514	humboldtiana	coastal	MA	302	29	55	21	ND	64.12	68.52	70.67	23.3	11.25	7.04	54.98	53.17	10.99	18.98	44.67	5.63	19.13	4.49	21.98	9.44	17.54	16.97	23.26	48.75	10.36	17.84
HSU	847	humboldtiana	coastal	MA	315	18	57	16	ND	62.18	66.52	69.61	24.18	10.43	5.54	48.23	43.67	10.43	17.3	43.65	5.09	18.46	5.43	20.33	9.39	16.92	16.28	20.65	45.98	10.14	16.66
HSU	875	humboldtiana	coastal	MA	300	13	33	22	ND	59.95	64.69	67.31	23.8	9.86	6.23	48.68	46.96	11.63	17.86	42.38	4.64	17.9	5.28	21.51	9.85	17.09	16.08	20.75	45.87	10.12	17.02
HSU	906	humboldtiana	coastal	MA	335	29	56	25	ND	63.6	67.73	68.65	24.3	11.66	5.43	53.08	52.82	11.55	18.52	44.8	5.32	18.68	4.68	22.68	9.61	17.75	17.07	20.58	46.69	10.66	17.43
HSU	1038	humboldtiana	coastal	MA	325	12	47	28	ND	63.8	68.63	70.48	23.28	10.45	5.83	52.58	51.24	11.1	19.96	43.98	4.82	19.64	4.74	22.31	9.66	17.84	17.32	21.05	48.88	10.35	18.07
HSU	1076	humboldtiana	coastal	MA	387	26	46	21	ND	60.25	65.25	67.69	23.87	10.73	6.28	49.03	46.72	11.75	19.07	42.14	5.47	18.09	5.39	21.5	9.88	16.7	16.17	20.31	46.03	10.7	16.64
HSU	1434	humboldtiana	coastal	MA	295	18	53	11	ND	60.58	63.73	65.29	21.86	9.21	5.13	45.74	44.52	12.75	16.51	41.71	4.72	18.05	5.31	20.29	9.63	16.06	16.02	18.7	44.9	10.02	16.18
HSU	2320	pacifica	pacifica	MA	310	27	49	20	1007	58.85	62.88	65.23	20.69	11.31	6.19	52.46	49.47	10.48	17.11	40.33	5.25	18.38	4.6	20.73	9.64	15.86	15.08	20.89	44.08	10.66	16.13
LACM	30058	californica	californica	MA	NA	NA	NA	NA	NA	67.67	71.85	74.15	26.17	12.47	8.82	60.21	55.15	12.23	21.67	47.29	7.75	20.46	5.56	24.04	11.66	19.03	18.11	26.08	50.62	13.23	18.48
LACM	20261	californica	californica	MA	370	44	61	19	NA	69.98	74.85	76.73	27.86	12.57	8.48	56.88	56.16	11.57	21.57	49.57	7.24	20.52	5.46	23.56	10.08	19.67	17.45	23.73	52.33	14.51	18.18
LACM	30061	californica	californica	MA	NA	NA	NA	NA	NA	68.19	72.66	74.71	26.43	11.77	7.99	55.95	53.63	12.84	20.14	48.57	7.13	19.61	5.7	23.01	8.74	19.94	18.82	24.56	50.27	13.83	18.22
LACM	97343	californica	californica	MA	345	30	62	23	1242	66.92	71.74	75.67	24.79	11.78	6.92	55.09	51.67	11.49	21.89	47.71	6.7	19.14	4.97	22.98	10.29	17.86	16.66	23.08	NA	12.21	18.37
LACM	27361	humboldtiana	coastal	MA	367	15	54	NA	NA	68.02	70.79	74.11	24.17	10.92	6.68	53.35	53.96	10.02	19.99	45.69	4.86	21.73	5.35	NA	NA	18.1	17.05	22.2	48.12	12.25	17.16
LACM	92622	humboldtiana	coastal	MA	356	19	57	NA	NA	65.99	70.03	70.87	22.71	10.78	7.28	53.26	51.24	10.15	19.33	46.3	5.59	19.78	4.9	22.23	10.18	19.15	16.41	24.42	45.62	12.74	17.65
LACM	21021	pacifica	pacifica	MA	365	35	55	25	NA	65.68	70.05	73.64	25.06	11.89	5.95	53.89	53.61	10.78	19.78	46.49	5.81	18.99	4.95	22.55	11.11	18.93	15.28	22.14	48.54	12.96	17.29
LACM	21026	pacifica	pacifica	MA	328	28	55	23	NA	59.76	64.5	67.89	23.27	10.05	5.94	46.58	43.23	11.25	18.31	42.64	5.81	17.23	5.23	18.92	9.32	17.02	15.29	17.34	42.72	11.83	16.33
LACM	22353	pacifica	pacifica	MA	382	27	57	22	NA	68.84	70.21	74.36	26.44	11.96	6.53	57.39	54.18	8.86	20.85	46.37	6.19	20.9	6.21	22.33	9.69	18.32	16.6	25.11	50.15	13.54	17.77
LACM	92623	pacifica	pacifica	MA	385	47	59	NA	NA	70.49	74.91	79.36	28.88	13.79	6.86	60.54	60.47	11.89	22.8	48.29	6.38	22.28	5.12	25.12	11.51	18.78	17.49	22.95	50.84	14.11	18.34
LACM	92624	pacifica	pacifica	MA	374	39	59	NA	NA	67.09	71.97	76.45	27.63	12.89	6.01	59.6	58.08	11.04	21.87	47.63	6.43	19.52	4.79	24.37	9.54	19.15	18.21	24.71	49.12	12.79	18.45
LACM	74308	pacifica	pacifica	MA	331	14	52	24	927	63.56	68.02	71.31	24.33	9.96	6.85	51.45	49.62	9.62	20.81	45.19	5.73	18.41	4.22	22.65	8.43	17.56	16.62	22.12	46.09	12.61	17.52
LACM	74311	pacifica	pacifica	MA	340	15	55	24	1012	64.75	68.65	71.28	22.69	10.9	6.83	53.72	50.54	10.71	19.73	46.59	5.49	18.15	4.24	21.84	10.39	19.68	16.54	21.68	46.88	12.32	19.04
LACM	92627	pacifica	pacifica	MA	317	32	53	NA	NA	62.11	66.18	69.5	23.55	10.16	6.69	52.77	49.53	10.16	20.61	43.86	5.87	18.24	4.54	21.96	9.67	17.06	16.15	21.41	45.16	12.34	17.65
LACM	3983	rufa	olympica	MA	345	45	60	NA	NA	63.78	67.33	70.72	26.85	11.72	6.89	54.61	52.24	10.45	20.18	44.42	5.61	19.35	4.91	22.41	9.37	17.95	17.03	21.91	48.22	11.17	18.42
MVZ	22615	californica	californica	MA	356	24	57	19	NA	68.31	72.51	75.52	25.12	11.83	8.57	56.96	52.71	11.7	20.11	47.79	4.89	20.24	4.67	23.47	10.3	17.77	17.79	23.65	51.77	12.37	18.67
MVZ	22616	californica	californica	MA	346	38	59	20	NA	65.73	69.72	75.35	26.07	11.83	7.24	55.6	53.2	10.31	19.17	46.42	5.25	18.92	4.84	22.94	9.74	17.53	17.59	23.36	51.34	12.23	17.86
MVZ	22618	californica	californica	MA	435	25	60	14	1270	65.77	69.64	73.06	25.27	11.52	8.79	56	52.45	10.92	18.75	45.84	5.53	19.68	4.73	22.8	9.47	17.21	16.27	23.54	50.26	12.19	17.65
MVZ	22619	californica	californica	MA	365	42	56	20	NA	67.33	72.17	77.04	25.41	12.01	6.8	56.41	52.51	9.84	21.56	48.1	5.21	19.13	4.65	23.16	9.24	17.84	17.49	25.78	52.36	12.83	17.91
MVZ	22620	californica	californica	MA	361	40	55	19	NA	68.77	73.26	76.52	26.66	11.39	7.2	55.68	52.74	10.69	20.7	49.04	4.89	19.64	4.29	23.57	9.19	19	17.92	25.11	51.58	12.89	19.05
MVZ	22621	californica	californica	MA	325	25	60	13	859	64.4	68.79	72.6	24.85	11.57	8.47	51.85	48.83	10.72	19.07	45.04	5.52	19.63	4.89	20.63	10.09	17.57	16.86	21.9	49.46	11.87	17.28
MVZ	172402	californica	californica	MA	370	40	57	20	1495	69.49	73.77	76.64	24.99	11.86	7.46	56.67	53.76	9.69	20.1	47.91	6.33	21.39	5.15	23.06	9.72	18.47	18.04	23.65	51.21	12.47	17.72
MVZ	18663	californica	californica	MA	375	34	64	12	NA	69.6	73.48	77.81	27.8	12.38	8.24	59.61	55.7	8.99	21.48	48.5	5.77	20.56	5.18	24.58	9.84	18.44	18.2	24.88	52.65	13.68	18.22
MVZ	18889	californica	californica	MA	352	32	56	10	NA	67.85	72.16	77.7	25.34	11.99	7.7	59.23	55.15	9.78	22.36	47.2	6.28	20.38	5.28	23.4	9.16	17.01	17.68	24.51	53.07	15.17	16.69
MVZ	116280	californica	californica	MA	337	NA	62	NA	NA	65.67	70.32	73.1	24.77	11.12	7.5	52.59	49.02	10.99	18.25	45.27	5.52	20.15	5.24	22.04	8.9	17.6	16.97	23.53	50.6	12.27	16.84
MVZ	116282	californica	californica	MA	354	NA	61	NA	NA	71.24	75.93	81.84	27.53	13.44	8.97	54.49	57.86	10.16	23.2	49.5	6.35	21.65	5.43	25.58	10.32	18.62	18.62	25.9	55.22	13.55	18.23
MVZ	116281	californica	californica	MA	338	NA	61	NA	NA	65.58	69.72	74.17	24.75	12.02	7.24	54.49	51.16	11.2	19	45.89	6.28	19.51	5.04	23.09	10.03	18.27	18.64	23.43	50.99	12.05	18.27
MVZ	73110	californica	californica	MA	NA	NA	60	19	NA	69.24	73.99	77.55	27.51	11.66	6.82	57.44	52.91	10.06	20.8	47.14	6.38	22	5.65	23.42	9.17	16.96	17.64	24.02	51.77	13.43	16.93
MVZ	21961	californica	californica	MA	362	40	64	NA	NA	70.53	75.8	78.6	26.8	11.85	7.97	60.54	56.25	10.97	20.77	48.81	5.38	21.64	5.27	24.24	9.88	18.53	17.4	25.36	53.44	14.14	18.84
MVZ	21962	californica	californica	MA	367	40	63	NA	NA	71.09	75.6	80.37	26.68	12.16	7.6	59.58	56.44	10.56	21.89	49.11	6.63	21.46	5.26	25.05	10.66	18.7	17.18	25.92	53.96	13.57	18.98
MVZ	22624	californica	californica	MA	376	22	63	21	1375	68.21	73.2	78.26	27.64	12.31	7.01	60.16	54.46	9.61	21.53	49.43	6.17	18.93	4.72	23.6	10.2	19	17.5	25.82	54.06	13.58	18.7
MVZ	22626	californica	californica	MA	380	32	55	15	1350	70.88	74.56	78.8	25.44	12.06	8.08	58.57	56.73	9.52	21.21	49.73	5.85	20.69	5.06	24.44	10.38	18.03	18.28	25.74	53.59	13.04	17.74
MVZ	22627	californica	californica	MA	333	24	62	17	1048.2	66.3	71.05	74.4	25.94	11.19	7.74	53.48	50.38	10.85	20.02	46.07	5.84	20.2	5.08	21.72	9.84	17.33	16.05	20.79	50.83	13.07	17.46
MVZ	183691	californica	californica	MA	NA	NA	NA	NA	NA	66.55	70.65	76.98	28.21	13.33	7.94	56.32	55.54	10.21	20.25	46.4	5.09	19.96	5.1	22.96	9.58	16.61	17.57	24.59	51.51	14.07	17.55
MVZ	115560	californica	californica	MA	330	NA	65	NA	1642	68.22	72.89	75.72	24.83	12.58	8.31	54.91	50.39	11.01	19.63	48.24	6.27	20.19	5.94	22.2	10.1	18.33	18.82	24.29	53.36	13.13	17.74
MVZ	13328	rufa	rufa	MA	370	21	NA	NA	NA	66.61	71.62	72.65	23.72	12.88	7.05	57.83	54.34	9.67	19.46	46.94	5.43	19.38	5.15	24.42	10.93	17.85	16.92	25.83	51.08	14.1	16.95
MVZ	21155	humboldtiana	coastal	MA	347	45	50	NA	NA	63.69	68.84	71.64	24.18	12.1	5.93	54.6	55.08	11.32	18.16	44.9	5.02	18.57	5.06	22.7	10.69	17.55	18.66	22.56	50.04	10.99	17.04
MVZ	21156	humboldtiana	coastal	MA	353	45	55	NA	NA	65.44	68.48	70.65	23.97	11.08	6.69	54.64	53.68	9.5	17.59	44.99	4.74	19.47	5.15	22.44	9.96	17.69	15.87	21.4	47.94	10.47	17.32
MVZ	21160	humboldtiana	coastal	MA	350	40	57	NA	NA	67.56	71.67	72.57	23.56	11.42	6.02	57.46	55.85	11.94	19.24	46.26	5.1	20.85	6.56	24.07	10.69	16.48	16.16	22.37	50.13	12.32	17.37
MVZ	21161	humboldtiana	coastal	MA	325	37	50	NA	NA	59.46	63.38	65.67	21.27	9.71	6	48.36	48.35	11.29	17.74	42.33	4.84	16.98	5.06	21.42	9.71	16.93	15.8	19.43	45.92	11.23	16.97
MVZ	34326	humboldtiana	coastal	MA	328	28	55	NA	NA	61.29	66.17	68.46	23.87	10.46	5.56	48.19	47.78	9.05	17.5	43.72	4.48	17.42	5.16	20.45	9.44	16.8	NA	20.43	45.47	9.65	16.78
MVZ	34240	humboldtiana	coastal	MA	358	40	60	NA	NA	67.06	71.31	73.35	24.74	11.97	7.35	55.05	54.05	10.99	19.24	46.66	4.07	19.97	4.96	21.63	10.2	17.62	16.24	22.02	50.82	11.82	18.47
